canonical_entity_id,canonical_entity_type,canonical_status,source_system,source_row_id,source_sku,source_type,canonical_name,published,catalog_visibility,tax_status,source_in_stock,canonical_brand_external,product_family_external,categories,tags,unit_of_measure_external,pack_size_value_external,pack_size_unit_external,pack_size_text_external,weight_kg,length_cm,width_cm,height_cm,thickness_mm,diameter_value,diameter_unit,omniclass_code,masterformat_code,uniformat_code,etim_code,icms_code,source_content_hash
5d8ce1f0-882b-5206-b7a4-af455440fe87,Product,master_canonical,wajenzi-master-catalogue-v1,11027,TA52,simple,Cutting Discs Mesh Reinforced180x1.6×22.23 Mm 8500-80m/S,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC004958,,c2afd19ec0e7c4b31655cf68edf08701bc90ea64dedc0e12352e7442e7afbbf4
e4d9c340-14a0-51b5-979d-81e4df6241a3,Product,master_canonical,wajenzi-master-catalogue-v1,11029,TA53,simple,Diamond Cutting 4-1/2” Turbo,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,a4b36d47aaaeab9e49cf241a047616edbce8dfd1400d88b7ee577212c06bdcbf
5c262a02-ede7-5852-8108-d447ef21b02a,Product,master_canonical,wajenzi-master-catalogue-v1,11030,TA54,simple,Diamond Cutting 7” Turbo,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,454f4fbcae8ed2cd3317a9e6b647783b2757f6f80aa9eb1c823809df7e566e06
d1a1e4ed-2fa5-579d-bcc1-59c0fa0173b5,Product,master_canonical,wajenzi-master-catalogue-v1,11031,TA55,simple,Diamond Cutting 9” Turbo,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,544e77fcf72798d7be78e69d282b4d2411f63150fa0e5b11f74caf759549d371
b252fa0e-2598-51d8-b4ea-c976afc614dd,Product,master_canonical,wajenzi-master-catalogue-v1,11033,TA56,simple,Diamond Cutting Disc 12” Segmented Eco,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,0b054e360da57f592ffe6aeb34be88b53956cac93b4740258659117fa47c81f9
b63b1523-d193-52a1-b199-023b4be965ea,Product,master_canonical,wajenzi-master-catalogue-v1,11034,TA57,simple,Diamond Cutting Disc 14” Segmented Eco,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,c6ba275030601543b382de82c264677e8809db56d0a979d95ebf3bf90fc0ffc3
a27a0e45-1c94-57bb-a663-89d177682b12,Product,master_canonical,wajenzi-master-catalogue-v1,11036,TA58,simple,Diamond Cutting Disc 16” Asphalt,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,a3542e44c38908b218fa876a7ea09fb4a36d8a84737c005c2a03cb4d940545e6
66d20b3d-71dc-5796-b476-b1ba125a219f,Product,master_canonical,wajenzi-master-catalogue-v1,11037,TA59,simple,Diamond Cutting Disc 18” Asphalt,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,488aec31b7bc0d48cb8feac4217677abf9aa4c93f70bd7f0e2bdce836fbfced8
942fbc8e-eace-5b6a-97ec-70e92a8efc92,Product,master_canonical,wajenzi-master-catalogue-v1,11039,TA60,simple,Diamond Cutting Disc 4-1/2” Continous Ceramic,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,23-15 17 13 13 13,09 30 00,,,04.060,dc0b39df0604c32c8684c4b9ae17edee788127edbb01a2a545bb86d012ff146f
49be37e1-9223-5973-bb07-add69f9c4352,Product,master_canonical,wajenzi-master-catalogue-v1,11040,TA61,simple,Diamond Cutting Disc 4-1/2” Segmented Eco,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,cc635e511b786acb29dafef610edb5482fa315192599cd6347735846b61e6108
40720086-d34e-5259-bf4a-cd2b2d4af5e3,Product,master_canonical,wajenzi-master-catalogue-v1,11041,TA62,simple,Diamond Cutting Disc 7” Continous Ceramic,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,23-15 17 13 13 13,09 30 00,,,04.060,4283c96a557556ae4ec117dea4d002b81492acb129bb5c4943acaee7934f758c
04138ca8-4e90-5940-b73c-cd3456ccfb21,Product,master_canonical,wajenzi-master-catalogue-v1,11042,TA63,simple,Diamond Cutting Disc 7” Segmented Eco,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,d015c46d6f301e06aae9c7bd3a51d3d5f1c80e1b76509cf240b476c9946f6e80
