source_code,source_record_id,gid,ward_name,county_name,subcounty_name,dhis2_uid,dhis2_cuid,dhis2_scuid,population_2009,vintage,modified_at,source_status
HDX_ARC_WARDS_1450,pZuA4cJd4bl,1787,Kapkures Ward,Nakuru,Nakuru West  Sub County,pZuA4cJd4bl,ob6SxuRcqU4,KTayLusaU5I,8956.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,i5te7PTlUjg,662,Suguta Marmar Ward,SAMBURU,Samburu Central Sub County,i5te7PTlUjg,o36zCRjSd4G,EmQRGVtvWy3,11905.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,eQNgjFoG2ct,1788,Rhoda Ward,Nakuru,Nakuru West  Sub County,eQNgjFoG2ct,ob6SxuRcqU4,KTayLusaU5I,24596.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,lTh2MSvx02l,1789,Shaabab Ward,Nakuru,Nakuru West  Sub County,lTh2MSvx02l,ob6SxuRcqU4,KTayLusaU5I,17989.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,k3OQIur2Wia,747,Soy North Ward,ELGEYO-MARAKWET,Keiyo South Sub County,k3OQIur2Wia,MqnLxQBigG0,SOEG546PqbA,14457.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,SZAo3nP3jDj,748,Soy South Ward,ELGEYO-MARAKWET,Keiyo South Sub County,SZAo3nP3jDj,MqnLxQBigG0,SOEG546PqbA,20370.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,BA2zKL0pmeI,1790,Biashara Ward,Nakuru,Nakuru East  Sub County,BA2zKL0pmeI,ob6SxuRcqU4,FBJ9Y11esHS,35916.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,Wh8ROphCMld,755,Kabwareng Ward,NANDI,Aldai Sub County,Wh8ROphCMld,t0J75eHKxz5,Sq2fLWnOCGg,22807.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,JsaOcykkym2,778,Ndalat Ward,NANDI,Mosop Sub County,JsaOcykkym2,t0J75eHKxz5,Xtb7tbJpk9p,18651.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,OFGHDVtVGOl,1791,Kivumbini Ward,Nakuru,Nakuru East  Sub County,OFGHDVtVGOl,ob6SxuRcqU4,FBJ9Y11esHS,20574.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
